12,1971921075
15,0012344159
12,0735634931
7,7614781469
13,5112286495
13,1547336976
14,962755542
13,4508692471
15,179718654
13,1252117545
6,86756070405
11,7468511876
13,7377804465
14,0918303616
16,2931037123
15,0541183621
11,2822747552
13,6342570085
10,5252153818
11,7622562655
7,6896234722
11,2720978971
8,79910333596
6,67875316275
13,1239429384
8,92528209198
17,4606966504
11,1012652642
16,5780537401
15,0921670665
10,634739039
11,7487401961
9,89455174702
16,3599962108
13,0402979618
10,5937435378
15,7337910687
10,1290140955
18,1067546083
5,39080104195
13,12818334
14,100869079
13,248200231
13,7666014185
7,64547333278
15,1318286328
13,5925888648
5,78516142744
3,07324762614
14,8739677984
11,5822882519
8,06016821733
11,6566886805
13,9862100297
12,1971389343
5,52907832624
11,0212577603
13,4226123462
13,7548044552
8,01494390101
7,15068997
12,2888944197
18,3587428159
17,1766479621
13,933575652
13,8914321902
11,0585517864
10,7809599668
8,92426940592
9,82659685083
15,8404701322
12,4319364857
11,4674329457
6,54587970065
15,5427795445
15,8325072858
16,7929759444
9,85752924571
11,2952204091
7,74560557043
10,5990855787
11,8560244123
11,0771295711
11,6895743781
10,3030083088
15,8336346778
13,4058927991
13,1608929967
13,1164047747
13,7909070145
10,1845999529
10,0719778584
7,15907798142
14,0190651278
14,5560304603
17,2779617768
17,0305668747
8,70343563118
9,41443918995
19,7623786444
10,5817374118
14,2964417086
11,8290426493
13,4719448934
12,0689212515
19,1027584439
10,4193521834
13,3395369056
13,8190997041
7,95108176626
19,7678474374
10,3811008736
16,4898499029
15,226541945
13,2595824348
8,83531721349
16,4474296514
13,874400316
14,5930869364
18,0388744987
13,2977663305
5,42754907509
15,1103742394
12,0295778983
12,5915278711
14,4174579213
11,7176167483
14,6860545658
16,2184073045
9,07105192122
11,2350249473
12,6076733214
9,78917422848
7,20499745874
16,1232972476
7,5069292084
8,59584445086
13,8603229112
10,6323399733
9,72803178211
8,25431208337
13,9598254027
15,4647658542
13,4038502864
3,53859857125
8,83535240047
10,3853857333
5,04128282609
3,75894527642
21,4093843168
11,5149469214
17,0587337586
12,2757599486
14,3428109964
10,8974241286
11,0065318685
13,9589406255
12,6698957864
14,8742543931
17,9167557397
12,7194211542
15,8695938767
8,73622751874
9,74199559754
15,6568624608
15,1513277061
11,209399588
12,1116962657
14,0509603509
8,51970252492
